route_mode,group,num_samples,mae
learned,overall,4,117.197509765625
learned,workday,4,117.197509765625
learned,holiday,0,
learned,rush_hour,1,102.28682708740234
learned,non_rush_hour,3,122.11688995361328
uniform,overall,4,116.62480163574219
uniform,workday,4,116.62480163574219
uniform,holiday,0,
uniform,rush_hour,1,101.72846984863281
uniform,non_rush_hour,3,121.53945922851562
shuffled,overall,4,117.197509765625
shuffled,workday,4,117.197509765625
shuffled,holiday,0,
shuffled,rush_hour,1,102.28681945800781
shuffled,non_rush_hour,3,122.11688995361328
remove_0,overall,4,154.24090576171875
remove_0,workday,4,154.24090576171875
remove_0,holiday,0,
remove_0,rush_hour,1,138.42982482910156
remove_0,non_rush_hour,3,159.45736694335938
remove_1,overall,4,146.5180206298828
remove_1,workday,4,146.5180206298828
remove_1,holiday,0,
remove_1,rush_hour,1,127.80550384521484
remove_1,non_rush_hour,3,152.6917266845703
remove_2,overall,4,140.5109405517578
remove_2,workday,4,140.5109405517578
remove_2,holiday,0,
remove_2,rush_hour,1,132.97471618652344
remove_2,non_rush_hour,3,142.99732971191406
