cluster,hour,count,ratio_within_cluster
0,0,7,0.05185185185185185
0,1,14,0.1037037037037037
0,2,14,0.1037037037037037
0,3,16,0.11851851851851852
0,4,21,0.15555555555555556
0,5,22,0.16296296296296298
0,6,15,0.1111111111111111
0,7,8,0.05925925925925926
0,8,8,0.05925925925925926
0,9,2,0.014814814814814815
0,10,0,0.0
0,11,0,0.0
0,12,0,0.0
0,13,0,0.0
0,14,0,0.0
0,15,0,0.0
0,16,0,0.0
0,17,0,0.0
0,18,0,0.0
0,19,0,0.0
0,20,0,0.0
0,21,1,0.007407407407407408
0,22,3,0.022222222222222223
0,23,4,0.02962962962962963
1,0,2,0.015384615384615385
1,1,0,0.0
1,2,2,0.015384615384615385
1,3,3,0.023076923076923078
1,4,0,0.0
1,5,0,0.0
1,6,3,0.023076923076923078
1,7,5,0.038461538461538464
1,8,0,0.0
1,9,5,0.038461538461538464
1,10,8,0.06153846153846154
1,11,14,0.1076923076923077
1,12,8,0.06153846153846154
1,13,11,0.08461538461538462
1,14,8,0.06153846153846154
1,15,3,0.023076923076923078
1,16,21,0.16153846153846155
1,17,23,0.17692307692307693
1,18,2,0.015384615384615385
1,19,2,0.015384615384615385
1,20,4,0.03076923076923077
1,21,3,0.023076923076923078
1,22,1,0.007692307692307693
1,23,2,0.015384615384615385
2,0,14,0.0498220640569395
2,1,8,0.028469750889679714
2,2,6,0.021352313167259787
2,3,3,0.010676156583629894
2,4,1,0.0035587188612099642
2,5,0,0.0
2,6,4,0.014234875444839857
2,7,9,0.03202846975088968
2,8,14,0.0498220640569395
2,9,15,0.05338078291814947
2,10,14,0.0498220640569395
2,11,8,0.028469750889679714
2,12,14,0.0498220640569395
2,13,11,0.03914590747330961
2,14,14,0.0498220640569395
2,15,20,0.0711743772241993
2,16,3,0.010676156583629894
2,17,1,0.0035587188612099642
2,18,22,0.07829181494661921
2,19,22,0.07829181494661921
2,20,20,0.0711743772241993
2,21,20,0.0711743772241993
2,22,20,0.0711743772241993
2,23,18,0.06405693950177936
