cluster,run_length
2,1
1,4
2,13
1,1
0,11
2,1
1,1
2,8
1,1
2,3
1,1
2,4
1,4
2,14
0,11
1,2
2,12
1,2
2,3
1,4
2,17
1,1
2,1
0,11
1,4
2,10
1,4
2,17
1,3
0,11
1,4
2,8
1,5
2,4
1,3
0,2
1,1
0,15
2,1
1,1
2,6
1,10
2,2
1,2
2,11
1,2
0,13
2,9
1,8
2,2
1,4
2,12
1,1
0,12
1,1
2,8
1,8
2,2
1,4
2,13
0,12
2,1
1,1
2,7
1,2
2,2
1,2
2,4
1,4
2,14
0,11
1,2
2,7
1,4
2,1
1,2
2,3
1,4
2,19
0,11
1,1
2,2
1,1
2,12
1,2
2,19
1,1
2,1
0,10
1,5
2,7
1,13
0,5
