cluster,kind,selection_rule,sample_index,temporal_index,selected_expert_hungarian,oracle_expert_id,gmm_confidence,gmm_entropy,gmm_hungarian_mae,uniform_mae,best_fixed_mae,oracle_mae,routing_gain_vs_uniform,oracle_gap,figure
0,positive,largest positive gain versus uniform,526,526,0,2,1.0,5.5262041470660606e-11,9.526023864746094,9.92844295501709,9.526023864746094,9.450228691101074,0.4024190902709961,0.07579517364501953,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/fpem_agcrn_aligned_pretrained_inv_input_add_module_validity_progressive_gmm_0720_add_progressive_gmm_kmax3_common020_seed2026/case_study/progressive_gmm_case_outputs/typical_samples/cluster_0_positive.png
0,neutral,smallest expert-MAE spread,40,40,0,2,0.9996598958969116,0.003056483343243599,8.685945510864258,8.64406681060791,8.685945510864258,8.667389869689941,-0.041878700256347656,0.018555641174316406,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/fpem_agcrn_aligned_pretrained_inv_input_add_module_validity_progressive_gmm_0720_add_progressive_gmm_kmax3_common020_seed2026/case_study/progressive_gmm_case_outputs/typical_samples/cluster_0_neutral.png
0,failure,largest negative gain versus uniform,389,389,0,2,0.7925934791564941,0.5105001926422119,8.58842658996582,8.181413650512695,8.58842658996582,8.039066314697266,-0.407012939453125,0.5493602752685547,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/fpem_agcrn_aligned_pretrained_inv_input_add_module_validity_progressive_gmm_0720_add_progressive_gmm_kmax3_common020_seed2026/case_study/progressive_gmm_case_outputs/typical_samples/cluster_0_failure.png
1,positive,largest positive gain versus uniform,532,532,2,2,1.0,5.5262041470660606e-11,7.477993011474609,8.16926097869873,7.713894844055176,7.477993011474609,0.6912679672241211,0.0,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/fpem_agcrn_aligned_pretrained_inv_input_add_module_validity_progressive_gmm_0720_add_progressive_gmm_kmax3_common020_seed2026/case_study/progressive_gmm_case_outputs/typical_samples/cluster_1_positive.png
1,neutral,smallest expert-MAE spread,387,387,2,0,1.0,5.5262041470660606e-11,7.530984401702881,7.399848461151123,7.520461559295654,7.520461559295654,-0.1311359405517578,0.010522842407226562,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/fpem_agcrn_aligned_pretrained_inv_input_add_module_validity_progressive_gmm_0720_add_progressive_gmm_kmax3_common020_seed2026/case_study/progressive_gmm_case_outputs/typical_samples/cluster_1_neutral.png
1,failure,largest negative gain versus uniform,530,530,2,1,1.0,5.5262041470660606e-11,10.944232940673828,10.01720905303955,10.643887519836426,8.613476753234863,-0.9270238876342773,2.330756187438965,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/fpem_agcrn_aligned_pretrained_inv_input_add_module_validity_progressive_gmm_0720_add_progressive_gmm_kmax3_common020_seed2026/case_study/progressive_gmm_case_outputs/typical_samples/cluster_1_failure.png
2,positive,largest positive gain versus uniform,315,315,1,0,1.0,5.5262041470660606e-11,3.4328372478485107,3.806060314178467,3.426246166229248,3.426246166229248,0.37322306632995605,0.006591081619262695,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/fpem_agcrn_aligned_pretrained_inv_input_add_module_validity_progressive_gmm_0720_add_progressive_gmm_kmax3_common020_seed2026/case_study/progressive_gmm_case_outputs/typical_samples/cluster_2_positive.png
2,neutral,smallest expert-MAE spread,458,458,1,2,1.0,5.5262041470660606e-11,5.7062578201293945,5.668206214904785,5.713073253631592,5.693798542022705,-0.038051605224609375,0.012459278106689453,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/fpem_agcrn_aligned_pretrained_inv_input_add_module_validity_progressive_gmm_0720_add_progressive_gmm_kmax3_common020_seed2026/case_study/progressive_gmm_case_outputs/typical_samples/cluster_2_neutral.png
2,failure,largest negative gain versus uniform,212,212,1,0,1.0,5.5262041470660606e-11,11.819051742553711,10.940717697143555,9.603482246398926,9.603482246398926,-0.8783340454101562,2.215569496154785,/data/OuXiaoyu/STEVE_CODE/STEVE/experiments/NYCTaxi_TDS/fpem_agcrn_aligned_pretrained_inv_input_add_module_validity_progressive_gmm_0720_add_progressive_gmm_kmax3_common020_seed2026/case_study/progressive_gmm_case_outputs/typical_samples/cluster_2_failure.png
